	run	task	split	label	tn_count	fp_count	fn_count	tp_count
120	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	CARDINAL	11545	36	22	983
121	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	DATE	10761	38	12	1775
122	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	EVENT	12498	3	20	65
123	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	FAC	12422	15	44	105
124	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	GPE	9989	51	101	2445
125	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LANGUAGE	12563	1	9	13
126	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LAW	12538	4	11	33
127	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LOC	12339	32	36	179
128	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	MONEY	12228	3	3	352
129	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	NORP	11565	31	19	971
130	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	ORDINAL	12371	8	3	204
131	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	ORG	10497	87	89	1913
132	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PERCENT	12178	0	0	408
133	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PERSON	10401	51	53	2081
134	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PRODUCT	12491	5	23	67
135	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	QUANTITY	12430	3	26	127
136	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	TIME	12339	22	12	213
137	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	WORK_OF_ART	12408	9	51	118
138	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_macro_avg_	213563	399	534	12052
139	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_micro_avg_	213563	399	534	12052
140	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	CARDINAL	18588	46	28	1692
141	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	DATE	17108	38	25	3183
142	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	EVENT	20168	7	58	121
143	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	FAC	20174	47	40	93
144	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	GPE	16606	99	117	3532
145	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	LANGUAGE	20313	6	10	25
146	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	LAW	20283	6	4	61
147	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	LOC	20010	28	65	251
148	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	MONEY	19496	5	7	846
149	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	NORP	19035	42	44	1233
150	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	ORDINAL	20016	3	12	323
151	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	ORG	16384	172	220	3578
152	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	PERCENT	19698	0	3	653
153	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	PERSON	17067	124	63	3100
154	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	PRODUCT	20118	22	106	108
